Frame frameNum: distHori distDiag pose time xPos zPos
Trial trialNum: pose xPos zPos time
Selection trialNum: distHori distDiag pose time xPos zPos selection trialTime reward score
Frame 0:	120.000	120.000	270.000	0.353	304.231	255.000
Frame 1:	120.000	120.000	270.000	0.416	304.231	255.000
Frame 2:	120.000	120.000	270.000	0.433	304.231	255.000
Frame 3:	120.000	120.000	270.000	0.449	304.231	255.000
Frame 4:	120.000	120.000	270.000	0.516	304.231	255.000
Frame 5:	120.000	120.000	270.000	0.601	304.231	255.000
Frame 6:	120.000	120.000	270.000	0.700	304.231	255.000
Frame 7:	120.000	120.000	270.000	0.816	304.231	255.000
Frame 8:	120.000	120.000	270.000	0.916	304.231	255.000
Frame 9:	119.333	119.333	270.000	1.016	303.565	255.000
Frame 10:	118.338	118.338	270.000	1.115	302.569	255.000
Frame 11:	117.476	117.476	270.000	1.201	301.707	255.000
Frame 12:	116.399	116.399	270.000	1.309	300.631	255.000
Frame 13:	115.379	115.379	270.000	1.411	299.611	255.000
Frame 14:	114.440	114.440	270.000	1.505	298.671	255.000
Frame 15:	113.379	113.379	270.000	1.611	297.610	255.000
Frame 16:	112.333	112.333	270.000	1.716	296.565	255.000
Frame 17:	111.461	111.461	270.000	1.803	295.693	255.000
Frame 18:	110.354	110.354	270.000	1.914	294.586	255.000
Frame 19:	109.386	109.386	270.000	2.010	293.618	255.000
Frame 20:	108.391	108.391	270.000	2.110	292.623	255.000
Frame 21:	107.380	107.380	270.000	2.211	291.612	255.000
Frame 22:	106.374	106.374	270.000	2.312	290.605	255.000
Frame 23:	105.381	105.381	270.000	2.411	289.613	255.000
Frame 24:	104.331	104.331	270.000	2.516	288.563	255.000
Frame 25:	103.302	103.302	270.000	2.619	287.534	255.000
Frame 26:	102.473	102.473	270.000	2.702	286.705	255.000
Frame 27:	101.438	101.438	270.000	2.805	285.669	255.000
Frame 28:	100.343	100.343	270.000	2.915	284.575	255.000
Frame 29:	99.484	99.484	270.000	3.001	283.716	255.000
Frame 30:	98.319	98.319	270.000	3.117	282.551	255.000
Frame 31:	97.451	97.451	270.000	3.204	281.682	255.000
Frame 32:	96.422	96.422	270.000	3.307	280.653	255.000
Frame 33:	95.414	95.414	270.000	3.408	279.645	255.000
Frame 34:	94.418	94.418	270.000	3.507	278.650	255.000
Frame 35:	93.368	93.368	270.000	3.612	277.599	255.000
Frame 36:	92.351	92.351	270.000	3.714	276.583	255.000
Frame 37:	91.356	91.356	270.000	3.813	275.588	255.000
Frame 38:	90.345	90.345	270.000	3.914	274.576	255.000
Frame 39:	89.331	89.331	270.000	4.016	273.563	255.000
Frame 40:	88.427	88.427	270.000	4.106	272.659	255.000
Frame 41:	87.340	87.340	270.000	4.215	271.571	255.000
Frame 42:	86.346	86.346	270.000	4.314	270.578	255.000
Frame 43:	85.305	85.305	270.000	4.418	269.537	255.000
Frame 44:	84.464	84.464	270.000	4.503	268.696	255.000
Frame 45:	83.396	83.396	270.000	4.609	267.627	255.000
Frame 46:	82.372	82.372	270.000	4.712	266.603	255.000
Frame 47:	81.453	81.453	270.000	4.804	265.684	255.000
Frame 48:	80.403	80.403	270.000	4.909	264.634	255.000
Frame 49:	79.378	79.378	270.000	5.011	263.610	255.000
Frame 50:	78.355	78.355	270.000	5.113	262.587	255.000
Frame 51:	77.361	77.361	270.000	5.213	261.592	255.000
Frame 52:	76.333	76.333	270.000	5.316	260.564	255.000
Frame 53:	75.459	75.459	270.000	5.403	259.690	255.000
Frame 54:	74.429	74.429	270.000	5.506	258.660	255.000
Frame 55:	73.355	73.355	270.000	5.613	257.587	255.000
Frame 56:	72.362	72.362	270.000	5.713	256.594	255.000
Frame 57:	71.352	71.352	270.000	5.814	255.583	255.000
Frame 58:	70.354	70.354	270.000	5.914	254.586	255.000
Frame 59:	69.360	69.360	270.000	6.013	253.591	255.000
Frame 60:	68.338	68.338	270.000	6.115	252.569	255.000
Frame 61:	67.458	67.458	270.000	6.203	251.689	255.000
Frame 62:	66.454	66.454	270.000	6.304	250.685	255.000
Frame 63:	65.400	65.400	270.000	6.409	249.631	255.000
Frame 64:	64.376	64.376	270.000	6.511	248.607	255.000
Frame 65:	63.412	63.412	270.000	6.608	247.643	255.000
Frame 66:	62.362	62.362	270.000	6.713	246.594	255.000
Frame 67:	61.368	61.368	270.000	6.812	245.600	255.000
Frame 68:	60.479	60.479	270.000	6.901	244.710	255.000
Frame 69:	59.417	59.417	270.000	7.007	243.649	255.000
Frame 70:	58.379	58.379	270.000	7.111	242.611	255.000
Frame 71:	57.338	57.338	270.000	7.215	241.570	255.000
Frame 72:	56.282	56.282	270.000	7.321	240.514	255.000
Frame 73:	55.452	55.452	270.000	7.404	239.684	255.000
Frame 74:	54.467	54.467	270.000	7.502	238.699	255.000
Frame 75:	53.469	53.469	270.000	7.602	237.700	255.000
Frame 76:	52.431	52.431	270.000	7.706	236.663	255.000
Frame 77:	51.374	51.374	270.000	7.812	235.605	255.000
Frame 78:	50.371	50.371	270.000	7.912	234.602	255.000
Frame 79:	49.346	49.346	270.000	8.014	233.577	255.000
Frame 80:	48.295	48.295	270.000	8.119	232.527	255.000
Frame 81:	47.466	47.466	270.000	8.202	231.698	255.000
Frame 82:	46.350	46.350	270.000	8.314	230.582	255.000
Frame 83:	45.346	45.346	270.000	8.414	229.577	255.000
Frame 84:	44.475	44.475	270.000	8.501	228.707	255.000
Frame 85:	43.425	43.425	270.000	8.606	227.656	255.000
Frame 86:	42.428	42.428	270.000	8.706	226.659	255.000
